h_rule,h_no,t_rule,t_no,reference
GRMZM2G154460,sum,GRMZM2G438438,sum,0.175084175084175
GRMZM2G154460,sum,GRMZM2G375675,sum,0.191919191919192
GRMZM2G154460,sum,GRMZM2G314546,sum,0.178451178451178
GRMZM2G154460,sum,GRMZM2G301208,sum,0.168350168350168
GRMZM2G154078,sum,GRMZM5G856837,sum,0.171717171717172
GRMZM2G154078,sum,GRMZM2G701389,sum,0.168350168350168
GRMZM2G154078,sum,GRMZM2G377904,sum,0.178451178451178
GRMZM2G154078,sum,GRMZM2G340807,sum,0.181818181818182
GRMZM2G152447,sum,GRMZM2G513713,sum,0.181818181818182
GRMZM2G152447,sum,GRMZM2G459432,sum,0.178451178451178
GRMZM2G151706,sum,GRMZM5G871419,sum,0.178451178451178
GRMZM2G151706,sum,GRMZM2G513713,sum,0.175084175084175
GRMZM2G151706,sum,GRMZM2G310362,sum,0.178451178451178
GRMZM2G151706,sum,GRMZM2G301208,sum,0.178451178451178
GRMZM2G151706,sum,GRMZM2G172794,sum,0.168350168350168
GRMZM2G151706,sum,GRMZM2G170727,sum,0.168350168350168
GRMZM2G151706,sum,GRMZM2G170351,sum,0.168350168350168
GRMZM2G149442,sum,GRMZM2G170727,sum,0.168350168350168
GRMZM2G149230,sum,GRMZM2G429899,sum,0.181818181818182
GRMZM2G149230,sum,GRMZM2G154460,sum,0.175084175084175
GRMZM2G149230,sum,GRMZM2G149442,sum,0.178451178451178
GRMZM2G147145,sum,GRMZM2G701389,sum,0.175084175084175
GRMZM2G147145,sum,GRMZM2G569903,sum,0.185185185185185
GRMZM2G147145,sum,GRMZM2G429899,sum,0.168350168350168
GRMZM2G147145,sum,GRMZM2G167492,sum,0.185185185185185
GRMZM2G147145,sum,GRMZM2G149230,sum,0.188552188552189
GRMZM2G142776,sum,GRMZM5G881088,sum,0.188552188552189
GRMZM2G142776,sum,GRMZM2G429899,sum,0.164983164983165
GRMZM2G142776,sum,GRMZM2G320298,sum,0.171717171717172
GRMZM2G142776,sum,GRMZM2G174236,sum,0.185185185185185
GRMZM2G142776,sum,GRMZM2G154460,sum,0.175084175084175
GRMZM2G142776,sum,GRMZM2G151107,sum,0.171717171717172
GRMZM2G137375,sum,GRMZM2G513713,sum,0.171717171717172
GRMZM2G137375,sum,GRMZM2G327199,sum,0.171717171717172
GRMZM2G137375,sum,GRMZM2G174236,sum,0.178451178451178
GRMZM2G137375,sum,GRMZM2G170351,sum,0.171717171717172
GRMZM2G137375,sum,GRMZM2G154078,sum,0.171717171717172
GRMZM2G135314,sum,GRMZM5G881088,sum,0.175084175084175
GRMZM2G135314,sum,GRMZM2G170727,sum,0.171717171717172
GRMZM2G131907,sum,GRMZM2G301885,sum,0.178451178451178
GRMZM2G131907,sum,GRMZM2G301208,sum,0.168350168350168
GRMZM2G131907,sum,GRMZM2G174236,sum,0.185185185185185
GRMZM2G128214,sum,GRMZM2G419267,sum,0.171717171717172
GRMZM2G128214,sum,GRMZM2G375675,sum,0.185185185185185
GRMZM2G128214,sum,GRMZM2G314546,sum,0.171717171717172
GRMZM2G128214,sum,GRMZM2G152447,sum,0.188552188552189
GRMZM2G126812,sum,GRMZM2G331833,sum,0.168350168350168
GRMZM2G126812,sum,GRMZM2G174236,sum,0.158249158249158
GRMZM2G120069,sum,GRMZM2G174949,sum,0.181818181818182
GRMZM2G120069,sum,GRMZM2G126812,sum,0.158249158249158
GRMZM2G116881,sum,GRMZM2G472945,sum,0.171717171717172
GRMZM2G116881,sum,GRMZM2G177169,sum,0.175084175084175
GRMZM2G116881,sum,GRMZM2G170727,sum,0.171717171717172
GRMZM2G116881,sum,GRMZM2G137375,sum,0.178451178451178
GRMZM2G109959,sum,GRMZM5G854880,sum,0.164983164983165
GRMZM2G109959,sum,GRMZM2G377904,sum,0.168350168350168
GRMZM2G109959,sum,GRMZM2G301208,sum,0.168350168350168
GRMZM2G109547,sum,GRMZM5G871419,sum,0.168350168350168
GRMZM2G109547,sum,GRMZM5G856837,sum,0.171717171717172
GRMZM2G109547,sum,GRMZM2G340807,sum,0.168350168350168
GRMZM2G109547,sum,GRMZM2G331833,sum,0.175084175084175
GRMZM2G109547,sum,GRMZM2G327199,sum,0.175084175084175
GRMZM2G108919,sum,GRMZM2G320298,sum,0.175084175084175
GRMZM2G108919,sum,GRMZM2G170727,sum,0.185185185185185
GRMZM2G108919,sum,GRMZM2G170351,sum,0.185185185185185
GRMZM2G108919,sum,GRMZM2G167492,sum,0.181818181818182
GRMZM2G108919,sum,GRMZM2G157481,sum,0.185185185185185
GRMZM2G108919,sum,GRMZM2G126812,sum,0.164983164983165
GRMZM2G108919,sum,GRMZM2G109547,sum,0.168350168350168
GRMZM2G107609,sum,GRMZM5G871419,sum,0.188552188552189
GRMZM2G107609,sum,GRMZM5G856837,sum,0.195286195286195
GRMZM2G107609,sum,GRMZM2G477340,sum,0.175084175084175
GRMZM2G107609,sum,GRMZM2G419267,sum,0.191919191919192
GRMZM2G107609,sum,GRMZM2G320298,sum,0.181818181818182
GRMZM2G107609,sum,GRMZM2G301208,sum,0.168350168350168
GRMZM2G107609,sum,GRMZM2G174236,sum,0.178451178451178
GRMZM2G107609,sum,GRMZM2G151706,sum,0.168350168350168
GRMZM2G107609,sum,GRMZM2G116881,sum,0.178451178451178
GRMZM2G107609,sum,GRMZM2G109547,sum,0.171717171717172
GRMZM2G104955,sum,GRMZM5G871419,sum,0.195286195286195
GRMZM2G104955,sum,GRMZM2G459432,sum,0.181818181818182
GRMZM2G104955,sum,GRMZM2G377904,sum,0.168350168350168
